file,page,product,width,height
"001_p01_cover-mak-amox-50-jar.png",1,"cover-mak-amox-50-jar",595,846
"002_p01_cover-makflor-23-bottle.png",1,"cover-makflor-23-bottle",470,1020
"003_p01_cover-xinmak-jar.png",1,"cover-xinmak-jar",590,860
"004_p06_t-foskam.png",6,"T Foskam",1010,1316
"005_p07_xinmak-water-soluble-powder.png",7,"Xinmak water soluble powder",1010,1330
"006_p08_floxy-n-mak.png",8,"Floxy N Mak",1010,1322
"007_p13_oxykam-95.png",13,"Oxykam 95",1010,1306
"008_p15_chlorkam-200.png",15,"Chlorkam 200",949,1303
"009_p30_moxclav.png",30,"Moxclav",892,1128
"010_p35_mox-ls.png",35,"Mox LS",968,1235
"011_p36_mak-amox-blc.png",36,"Mak Amox BLC",1010,1292
"012_p42_diurikam.png",42,"Diurikam",1010,1125
"013_p48_mak-fivevit.png",48,"Mak Fivevit",1003,1330
"014_p19_pefloxkam-10.png",19,"Pefloxkam 10",780,1271
"015_p20_ofloxkam-10.png",20,"Ofloxkam 10",780,1241
"016_p23_xinmak-oral-liquid.png",23,"Xinmak oral liquid",780,1232
"017_p24_sulpha-t-mak.png",24,"Sulpha T Mak",780,1078
"018_p25_tilkam-25.png",25,"Tilkam 25",780,1191
"019_p27_enrokam-ag-10.png",27,"Enrokam AG 10",780,1254
"020_p28_bromokam-5.png",28,"Bromokam 5",780,1278
"021_p44_makliv.png",44,"Makliv",780,1163
"022_p45_hepakam.png",45,"Hepakam",780,1255
"023_p49_mak-fourvit.png",49,"Mak Fourvit",780,1192
"024_p51_mak-ze-sel.png",51,"Mak Ze Sel",780,1141
"025_p41_flushkam.png",41,"Flushkam",863,1098
"026_p43_dl-chol.png",43,"DL Chol",760,1117
"027_p47_mak-gumbonil.png",47,"Mak Gumbonil",788,840
"028_p09_tylokam-10.png",9,"Tylokam 10",770,968
"029_p09_tylokam-100.png",9,"Tylokam 100",773,1069
"030_p10_doxykam-50.png",10,"Doxykam 50",920,990
"031_p10_doxykam-80.png",10,"Doxykam 80",920,1104
"032_p11_colikam.png",11,"Colikam",849,990
"033_p11_colikam-50.png",11,"Colikam 50",920,989
"034_p12_neokam-72.png",12,"Neokam 72",841,990
"035_p12_neokam-100.png",12,"Neokam 100",920,964
"036_p14_mprokam-50.png",14,"Mprokam 50",823,990
"037_p14_mprokam-90.png",14,"Mprokam 90",920,1010
"038_p16_sintolin-plus.png",16,"Sintolin Plus",818,990
"039_p16_sintolin-40.png",16,"Sintolin 40",920,1199
"040_p17_sintolin-44.png",17,"Sintolin 44",854,944
"041_p17_sintolin-110.png",17,"Sintolin 110",854,1002
"042_p26_enrokam-c-10.png",26,"Enrokam C 10",525,990
"043_p26_enrokam-c-20.png",26,"Enrokam C 20",828,1114
"044_p32_mak-amox-50.png",32,"Mak Amox 50",814,933
"045_p32_mak-amox-80.png",32,"Mak Amox 80",878,1201
"046_p40_frusamak.png",40,"Frusamak",769,943
"047_p40_frualex-elite.png",40,"Frualex Elite",791,133
"048_p21_makflor-20.png",21,"Makflor 20",790,880
"049_p21_makflor-23.png",21,"Makflor 23",463,955
"050_p21_makflor-25.png",21,"Makflor 25",709,954
"051_p22_makflor-c-10.png",22,"Makflor C 10",790,852
"052_p22_makflor-c-23.png",22,"Makflor C 23",454,877
"053_p22_makflor-c-25.png",22,"Makflor C 25",723,876
"054_p33_mak-amox-c-15.png",33,"Mak Amox C 15",790,857
"055_p33_mak-amox-c-20.png",33,"Mak Amox C 20",705,891
"056_p33_mak-amox-c-50.png",33,"Mak Amox C 50",703,917
"057_p29_bronchoment-oral-liquid.png",29,"Bronchoment oral liquid",610,665
"058_p46_c-kam-100-jar.png",46,"C Kam 100 jar",700,920
"059_p46_c-kam-100-sachet.png",46,"C Kam 100 sachet",650,864
"060_p46_c-kam-250-sachet.png",46,"C Kam 250 sachet",637,706
"061_p50_mak-ze-sel-forte.png",50,"Mak Ze sel Forte",680,779
"062_p50_mak-ze-sel.png",50,"Mak Ze sel",495,498
